timestamp,plant_id,generation_MW,capacity_MW
2025-01-01 00:00:00,SOL_KOPPAL_50,0.296,50.0
2025-01-01 01:00:00,SOL_KOPPAL_50,0.295,50.0
2025-01-01 02:00:00,SOL_KOPPAL_50,0.575,50.0
2025-01-01 03:00:00,SOL_KOPPAL_50,0.0,50.0
2025-01-01 04:00:00,SOL_KOPPAL_50,1.056,50.0
2025-01-01 05:00:00,SOL_KOPPAL_50,0.598,50.0
2025-01-01 06:00:00,SOL_KOPPAL_50,0.231,50.0
2025-01-01 07:00:00,SOL_KOPPAL_50,5.192,50.0
2025-01-01 08:00:00,SOL_KOPPAL_50,12.232,50.0
2025-01-01 09:00:00,SOL_KOPPAL_50,18.93,50.0
2025-01-01 10:00:00,SOL_KOPPAL_50,24.922,50.0
2025-01-01 11:00:00,SOL_KOPPAL_50,28.608,50.0
2025-01-01 12:00:00,SOL_KOPPAL_50,27.898,50.0
2025-01-01 13:00:00,SOL_KOPPAL_50,27.49,50.0
2025-01-01 14:00:00,SOL_KOPPAL_50,19.25,50.0
2025-01-01 15:00:00,SOL_KOPPAL_50,12.122,50.0
2025-01-01 16:00:00,SOL_KOPPAL_50,5.287,50.0
2025-01-01 17:00:00,SOL_KOPPAL_50,0.595,50.0
2025-01-01 18:00:00,SOL_KOPPAL_50,0.252,50.0
2025-01-01 19:00:00,SOL_KOPPAL_50,0.245,50.0
2025-01-01 20:00:00,SOL_KOPPAL_50,0.033,50.0
2025-01-01 21:00:00,SOL_KOPPAL_50,0.0,50.0
2025-01-01 22:00:00,SOL_KOPPAL_50,0.46,50.0
2025-01-01 23:00:00,SOL_KOPPAL_50,0.0,50.0
2025-01-02 00:00:00,SOL_KOPPAL_50,0.0,50.0
2025-01-02 01:00:00,SOL_KOPPAL_50,0.0,50.0
2025-01-02 02:00:00,SOL_KOPPAL_50,0.0,50.0
2025-01-02 03:00:00,SOL_KOPPAL_50,0.784,50.0
2025-01-02 04:00:00,SOL_KOPPAL_50,0.426,50.0
2025-01-02 05:00:00,SOL_KOPPAL_50,1.378,50.0
2025-01-02 06:00:00,SOL_KOPPAL_50,1.654,50.0
2025-01-02 07:00:00,SOL_KOPPAL_50,5.664,50.0
2025-01-02 08:00:00,SOL_KOPPAL_50,12.587,50.0
2025-01-02 09:00:00,SOL_KOPPAL_50,18.839,50.0
2025-01-02 10:00:00,SOL_KOPPAL_50,21.56,50.0
2025-01-02 11:00:00,SOL_KOPPAL_50,21.93,50.0
2025-01-02 12:00:00,SOL_KOPPAL_50,21.134,50.0
2025-01-02 13:00:00,SOL_KOPPAL_50,18.499,50.0
2025-01-02 14:00:00,SOL_KOPPAL_50,16.93,50.0
2025-01-02 15:00:00,SOL_KOPPAL_50,10.267,50.0
2025-01-02 16:00:00,SOL_KOPPAL_50,4.793,50.0
2025-01-02 17:00:00,SOL_KOPPAL_50,0.0,50.0
2025-01-02 18:00:00,SOL_KOPPAL_50,0.633,50.0
2025-01-02 19:00:00,SOL_KOPPAL_50,0.0,50.0
